Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
52301,-0.2896,0.000406,0.0355,-0.28,1.08,0.041776925,0.038307147,0.99027063,0.020160932,0.012843489
52401,-0.2908,0.000214,0.00443,-0.25,1.1324,0.005900028,0.005021594,0.963803278,0.01461375,-0.007700852
52501,-0.3062,0.000575,0.0193,-0.2313,0.8591,0.014792411,0.01654829,0.961117446,0.023982634,-0.107525075
52601,-0.2968,0.000688,0.0099,-0.2351,0.7966,0.006971654,0.007888658,0.901342289,0.026226082,-0.109480571
52701,-0.2515,0.00634,0.0148,-0.2659,1.0483,0.022620241,0.015528468,0.719659754,0.079632681,0.027196044
52801,-0.1807,0.0323,0.0294,-0.2105,0.336,0.035628262,0.009862823,0.093016396,0.179761647,-0.11001403
52901,-0.3088,0.0347,0.0288,-0.2646,1.379,0.089435261,0.039663203,0.611560684,0.186387155,0.056037205
53001,-0.3095,0.0439,0.02,-0.2342,0.4745,0.048443782,0.0094808,0.092856665,0.20963171,-0.19835494
53101,-0.2379,0.0112,0.0313,-0.243,0.9528,0.039652584,0.029814937,0.716434914,0.106038146,-0.006443267
53201,-0.2889,0.0253,0.0128,-0.2533,1.1168,0.041338415,0.014351091,0.387719025,0.159093448,-0.006049037
53301,-0.3551,0.0165,0.0225,-0.2868,1.1325,0.045375135,0.02550165,0.636466035,0.12843443,-0.030235373
53401,-0.3746,0.00921,0.0164,-0.2564,1.4457,0.043438924,0.023675304,0.787929812,0.09597969,-0.003931201
53501,-0.297,0.0268,0.0218,-0.27,1.0942,0.05295269,0.02390722,0.493995411,0.163689658,-0.001631483
53601,-0.2844,0.0129,0.0445,-0.2716,0.3757,0.019141776,0.016728881,0.328321583,0.11338923,-0.182365844
